01|BUDAPEST                 |09566|BUDAPEST          01|MDF - KDNP - FKGP             |       |017            
01|BUDAPEST                 |09566|BUDAPEST          01|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |007            
01|BUDAPEST                 |09566|BUDAPEST          01|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |006            
01|BUDAPEST                 |09566|BUDAPEST          01|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |03179|BUDAPEST          02|MDF - KDNP - FKGP             |       |016            
01|BUDAPEST                 |03179|BUDAPEST          02|SZDSZ - FIDESZ                |       |010            
01|BUDAPEST                 |03179|BUDAPEST          02|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |004            
01|BUDAPEST                 |03179|BUDAPEST          02|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |004            
01|BUDAPEST                 |03179|BUDAPEST          02|FIDESZ - SZDSZ                |       |003            
01|BUDAPEST                 |03179|BUDAPEST          02|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |18069|BUDAPEST          03|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |011            
01|BUDAPEST                 |18069|BUDAPEST          03|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |011            
01|BUDAPEST                 |18069|BUDAPEST          03|MAGYAR DEMOKRATA FÓRUM        |       |010            
01|BUDAPEST                 |18069|BUDAPEST          03|SZDSZ - FIDESZ                |       |009            
01|BUDAPEST                 |18069|BUDAPEST          03|FIDESZ - SZDSZ                |       |002            
01|BUDAPEST                 |18069|BUDAPEST          03|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |18069|BUDAPEST          03|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |18069|BUDAPEST          03|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |05467|BUDAPEST          04|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |017            
01|BUDAPEST                 |05467|BUDAPEST          04|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |012            
01|BUDAPEST                 |05467|BUDAPEST          04|MAGYAR DEMOKRATA FÓRUM        |       |007            
01|BUDAPEST                 |05467|BUDAPEST          04|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |05467|BUDAPEST          04|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |13392|BUDAPEST          05|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |012            
01|BUDAPEST                 |13392|BUDAPEST          05|MAGYAR DEMOKRATA FÓRUM        |       |007            
01|BUDAPEST                 |13392|BUDAPEST          05|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |006            
01|BUDAPEST                 |13392|BUDAPEST          05|SZDSZ - FIDESZ                |       |004            
01|BUDAPEST                 |13392|BUDAPEST          05|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |13392|BUDAPEST          05|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |16586|BUDAPEST          06|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |16586|BUDAPEST          06|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |007            
01|BUDAPEST                 |16586|BUDAPEST          06|MAGYAR DEMOKRATA FÓRUM        |       |005            
01|BUDAPEST                 |16586|BUDAPEST          06|SZDSZ - FIDESZ                |       |005            
01|BUDAPEST                 |16586|BUDAPEST          06|FIDESZ - SZDSZ                |       |003            
01|BUDAPEST                 |16586|BUDAPEST          06|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |16586|BUDAPEST          06|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |29744|BUDAPEST          07|SZDSZ - FIDESZ                |       |011            
01|BUDAPEST                 |29744|BUDAPEST          07|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |29744|BUDAPEST          07|MDF - FKGP - KDNP             |       |006            
01|BUDAPEST                 |29744|BUDAPEST          07|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |004            
01|BUDAPEST                 |29744|BUDAPEST          07|FÜGGETLEN JELÖLT              |       |003            
01|BUDAPEST                 |29744|BUDAPEST          07|SZÖVETSÉG A SZOCIÁLIS DEMOKRÁC|       |002            
01|BUDAPEST                 |25405|BUDAPEST          08|MAGYAR DEMOKRATA FÓRUM-KERESZT|       |010            
01|BUDAPEST                 |25405|BUDAPEST          08|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |25405|BUDAPEST          08|SZABADDEM. SZÖVETSÉGE - FIATAL|       |008            
01|BUDAPEST                 |25405|BUDAPEST          08|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |006            
01|BUDAPEST                 |25405|BUDAPEST          08|FÜGGETLEN JELÖLT              |       |001            
01|BUDAPEST                 |25405|BUDAPEST          08|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |25405|BUDAPEST          08|MDF - BAJCSY-ZSILINSZKI TÁRSAS|       |001            
01|BUDAPEST                 |29586|BUDAPEST          09|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |015            
01|BUDAPEST                 |29586|BUDAPEST          09|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |29586|BUDAPEST          09|MAGYAR DEMOKRATA FÓRUM        |       |005            
01|BUDAPEST                 |29586|BUDAPEST          09|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |002            
01|BUDAPEST                 |29586|BUDAPEST          09|FÜGGETLEN JELÖLT              |       |001            
01|BUDAPEST                 |29586|BUDAPEST          09|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |10700|BUDAPEST          10|SZDSZ - FIDESZ                |       |010            
01|BUDAPEST                 |10700|BUDAPEST          10|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |008            
01|BUDAPEST                 |10700|BUDAPEST          10|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |008            
01|BUDAPEST                 |10700|BUDAPEST          10|MAGYAR DEMOKRATA FÓRUM        |       |006            
01|BUDAPEST                 |10700|BUDAPEST          10|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |10700|BUDAPEST          10|FIDESZ - SZDSZ                |       |001            
01|BUDAPEST                 |10700|BUDAPEST          10|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |10700|BUDAPEST          10|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |14216|BUDAPEST          11|MAGYAR DEMOKRATA FÓRUM        |       |019            
01|BUDAPEST                 |14216|BUDAPEST          11|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |014            
01|BUDAPEST                 |14216|BUDAPEST          11|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |14216|BUDAPEST          11|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |005            
01|BUDAPEST                 |14216|BUDAPEST          11|MSZP - BALOLDALI IFJÚSÁGI TÁRS|       |002            
01|BUDAPEST                 |14216|BUDAPEST          11|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |24697|BUDAPEST          12|MAGYAR DEMOKRATA FÓRUM        |       |010            
01|BUDAPEST                 |24697|BUDAPEST          12|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |007            
01|BUDAPEST                 |24697|BUDAPEST          12|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |006            
01|BUDAPEST                 |24697|BUDAPEST          12|FIDESZ - SZDSZ                |       |004            
01|BUDAPEST                 |24697|BUDAPEST          12|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |004            
01|BUDAPEST                 |24697|BUDAPEST          12|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |24299|BUDAPEST          13|SZDSZ - FIDESZ                |       |013            
01|BUDAPEST                 |24299|BUDAPEST          13|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |012            
01|BUDAPEST                 |24299|BUDAPEST          13|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |24299|BUDAPEST          13|MAGYAR DEMOKRATA FÓRUM        |       |005            
01|BUDAPEST                 |24299|BUDAPEST          13|MAGYAR SZOCIALISTA PÁRT       |       |003            
01|BUDAPEST                 |24299|BUDAPEST          13|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |24299|BUDAPEST          13|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |16337|BUDAPEST          14|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |023            
01|BUDAPEST                 |16337|BUDAPEST          14|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |16337|BUDAPEST          14|MAGYAR DEMOKRATA FÓRUM        |       |008            
01|BUDAPEST                 |16337|BUDAPEST          14|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |16337|BUDAPEST          14|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |16337|BUDAPEST          14|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |11314|BUDAPEST          15|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |011            
01|BUDAPEST                 |11314|BUDAPEST          15|SZDSZ - FIDESZ                |       |006            
01|BUDAPEST                 |11314|BUDAPEST          15|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |005            
01|BUDAPEST                 |11314|BUDAPEST          15|FIDESZ - SZDSZ                |       |004            
01|BUDAPEST                 |11314|BUDAPEST          15|MAGYAR DEMOKRATA FÓRUM        |       |004            
01|BUDAPEST                 |11314|BUDAPEST          15|MAGYAR SZOCIALISTA PÁRT       |       |002            
01|BUDAPEST                 |11314|BUDAPEST          15|FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
01|BUDAPEST                 |11314|BUDAPEST          15|SZDSZ - KDNP - FIDESZ         |       |001            
01|BUDAPEST                 |11314|BUDAPEST          15|ÚJPALOTAIAK BARÁTI KÖRE MÜVELÕ|       |001            
01|BUDAPEST                 |11314|BUDAPEST          15|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |11314|BUDAPEST          15|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |08208|BUDAPEST          16|SZDSZ - FIDESZ                |       |010            
01|BUDAPEST                 |08208|BUDAPEST          16|MAGYAR DEMOKRATA FÓRUM        |       |006            
01|BUDAPEST                 |08208|BUDAPEST          16|FIDESZ - SZDSZ                |       |005            
01|BUDAPEST                 |08208|BUDAPEST          16|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |005            
01|BUDAPEST                 |08208|BUDAPEST          16|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |004            
01|BUDAPEST                 |08208|BUDAPEST          16|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |02112|BUDAPEST          17|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |02112|BUDAPEST          17|SZABADDEMOKRATÁK SZÖVETSÉGE - |       |009            
01|BUDAPEST                 |02112|BUDAPEST          17|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |008            
01|BUDAPEST                 |02112|BUDAPEST          17|MAGYAR DEMOKRATA FÓRUM        |       |004            
01|BUDAPEST                 |02112|BUDAPEST          17|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |02112|BUDAPEST          17|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |29285|BUDAPEST          18|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |29285|BUDAPEST          18|MAGYAR DEMOKRATA FÓRUM        |       |007            
01|BUDAPEST                 |29285|BUDAPEST          18|FÜGGETLEN JELÖLT              |       |002            
01|BUDAPEST                 |29285|BUDAPEST          18|SZDSZ - FIDESZ                |       |002            
01|BUDAPEST                 |29285|BUDAPEST          18|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |002            
01|BUDAPEST                 |29285|BUDAPEST          18|FIDESZ - SZDSZ                |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|MDF - FKGP - KDNP             |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|MAGYARORSZÁGI ZÖLD PÁRT       |       |001            
01|BUDAPEST                 |04011|BUDAPEST          19|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |04011|BUDAPEST          19|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |007            
01|BUDAPEST                 |04011|BUDAPEST          19|SZDSZ - FIDESZ                |       |006            
01|BUDAPEST                 |04011|BUDAPEST          19|MAGYAR DEMOKRATA FÓRUM        |       |005            
01|BUDAPEST                 |04011|BUDAPEST          19|FIDESZ - SZDSZ                |       |003            
01|BUDAPEST                 |04011|BUDAPEST          19|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |04011|BUDAPEST          19|MAGYAR POLGÁRI UNIÓ           |       |001            
01|BUDAPEST                 |04011|BUDAPEST          19|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |06026|BUDAPEST          20|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |013            
01|BUDAPEST                 |06026|BUDAPEST          20|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |06026|BUDAPEST          20|MAGYAR DEMOKRATA FÓRUM        |       |009            
01|BUDAPEST                 |06026|BUDAPEST          20|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |002            
01|BUDAPEST                 |06026|BUDAPEST          20|FÜGGETLEN JELÖLT              |       |001            
01|BUDAPEST                 |06026|BUDAPEST          20|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |13189|BUDAPEST          21|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |011            
01|BUDAPEST                 |13189|BUDAPEST          21|SZABADDEM. SZÖVETSÉGE - FIATAL|       |009            
01|BUDAPEST                 |13189|BUDAPEST          21|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |008            
01|BUDAPEST                 |13189|BUDAPEST          21|MAGYAR DEMOKRATA FÓRUM        |       |003            
