01|BUDAPEST                 |BUDAPEST          01|    |LIGETI IMRE                         |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          02|    |PÓTA GYULA                          |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          03|    |TARLÓS ISTVÁN                       |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          04|DR. |DERCZE TAMÁS                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          05|    |MIHÁLYI GÁBOR                       |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          06|DR. |SEILER TIBOR                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          07|    |FARAGÓ JÁNOS                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          08|    |KOPPÁNY ZOLTÁN                      |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          09|DR. |GEGESY FERENC                       |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          10|    |GYÖRGY ISTVÁN                       |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          11|DR. |BÁNHEGYI EMIL                       |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          12|    |SEBES GÁBOR                         |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          13|    |SIKLAKY ISTVÁN                      |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          14|DR. |KARDOS ZSUZSANNA                    |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          15|    |CZIBIK TAMÁS                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          16|    |FEKETE GÁBOR                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          17|    |DÓCI JÓZSEF                         |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          18|DR. |MOLICH ENDRE                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          19|    |LÉVAY LEVENTE                       |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          20|    |PERLAKI JENŐ                        |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          21|    |HAJDÚ BÉLA                          |NEM ISMERT                                                
01|BUDAPEST                 |BUDAPEST          22|    |HAJAS ERVIN                         |NEM ISMERT                                                
02|BARANYA                  |ABALIGET            |    |BARITZ ISTVÁN                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ADORJÁS             |    |TÓTH GYULA                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ÁG                  |    |BAKONYSZEGI PÉTERNÉ                 |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ALMAMELLÉK          |    |SCHWARTZ JÓZSEF                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ALMÁSKERESZTÚR      |    |KASLER FERENC                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ALSÓMOCSOLÁD        |    |DICSŐ LÁSZLÓ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ALSÓSZENTMÁRTON     |ID. |SZILÁGYI PÉTER                      |MAGYAR SZOCIALISTA PÁRT                                   
02|BARANYA                  |APÁTVARASD          |    |HORVÁTH GYŐZŐ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ARANYOSGADÁNY       |    |VÉR JÓZSEF                          |FÜGGETLEN KISGAZDA FÖLDMUNKÁS                             
02|BARANYA                  |ÁTA                 |    |HORVÁTH LAJOS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BABARC              |    |HOCK JÁNOS                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BABARCSZŐLŐS        |    |VLASITS JÓZSEFNÉ                    |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BAKÓCA              |IFJ.|DÉNES SÁNDOR                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BAKONYA             |    |VAKARÓ ANDRÁS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BAKSA               |    |NAGY ISTVÁN                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BÁNFA               |    |ÁLLÓ ZOLTÁN                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BÁR                 |    |NAGY MIHÁLYNÉ                       |AGRÁRSZÖVETSÉG                                            
02|BARANYA                  |BARANYAHIDVÉG       |    |KUDARI LÁSZLÓ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BARANYAJENŐ         |    |MÁTIS JÁNOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BARANYASZENTGYÖRGY  |    |SZABÓ TIBOR                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BASAL               |    |HERNER ANDRÁS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BELVÁRDGYULA        |    |NÉMETH JENŐ                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BEREMEND            |    |HEINDL JÓZSEF                       |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |BERKESD             |    |TELKES ISTVÁN                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BESENCE             |    |VIRÁG JÁNOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BEZEDEK             |    |SZŐKE JÓZSEFNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BICSÉRD             |    |VÉR JÓZSEF                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BIKAL               |    |MARKÓ JÓZSEF                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BIRJÁN              |    |MAGYAR JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BISSE               |    |DÓZSA ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BODA                |    |KOVÁCS GYŐZŐ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BODOLYABÉR          |    |DOBAI GYULÁNÉ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BOGÁD               |    |HORVÁTH TIBOR                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BOGÁDMINDSZENT      |    |BODONYI FERENC                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BOGDÁSA             |    |KERESZTES SÁNDOR                    |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BOLDOGASSZONYFA     |    |NEICZER JÓZSEF                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BÓLY                |    |HÁRS JÓZSEF                         |SZDSZ-MDF-KOLPING-KÖZSÉGVÉDŐK-                            
02|BARANYA                  |BORJÁD              |    |MARKOVICS ERNŐ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BOSTA               |    |MALOVESZ FERENC                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BOTYKAPETERD        |    |PÁL JÁNOS                           |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BÜKKÖSD             |    |MÁTIS ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |BÜRÜS               |    |KOVÁCS GYULA                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSÁNYOSZRÓ          |    |MECSKEI KÁROLY                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSARNÓTA            |    |ZORITY ZOLTÁNNÉ                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSEBÉNY             |    |BÓTA ANDRÁS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSERDI              |    |KOVÁCS ZOLTÁN                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSERKÚT             |    |JÓNÁS JÓZSEF                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSERTŐ              |    |HOLLÓSI SÁNDOR                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CSONKAMINDSZENT     |    |ROPOLI LÁSZLÓ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |CUN                 |    |MAGYAR JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DENCSHÁZA           |    |MINCZINGER ILONA                    |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DINNYEBERKI         |ID. |KAJDON BÉLA                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DIÓSVISZLÓ          |    |RAVASZ SÁNDOR                       |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |DOBSZA              |IFJ.|BÜKI ISTVÁN                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVACSEHI          |    |KOVÁCS PÁL                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVACSEPELY        |IFJ.|GÁL JÓZSEF                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVAFOK            |    |KOVÁCSEVICS PÁLNÉ                   |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVAIVÁNYI         |    |A.NAGY JENŐ                         |FÜGGETLEN KISGAZDA FÖLDMUNKÁS                             
02|BARANYA                  |DRÁVAKERESZTÚR      |    |PINTÉR JÁNOSNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVAPALKONYA       |    |RAFA GYOVAI LAJOS                   |FÜGGETLEN KISGAZDA FÖLDMUNKÁS                             
02|BARANYA                  |DRÁVAPISKI          |    |KASZA LAJOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVASZABOLCS       |    |AMBACH LÁSZLÓ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVASZERDAHELY     |    |ORMÓDINÉ KONYHÁS GYÖRGYI            |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DRÁVASZTÁRA         |    |HORVÁTH FERENC                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DUNAFALVA           |    |ELMER ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |DUNASZEKCSŐ         |DR. |SCHMIDT JÓZSEF                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |EGERÁG              |    |NÉMETH JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |EGYHÁZASHARASZTI    |    |HORVÁTH PÁLNÉ MELLÁR ILONA          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |EGYHÁZASKOZÁR       |    |WEISZ PÉTER                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ELLEND              |    |HORNUNG GYÖRGY                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ENDRÖC              |    |SZOMORÚ JÓZSEF                      |NEM ISMERT                                                
02|BARANYA                  |ERDŐSMÁROK          |DR. |BÚZÁSI ERNŐ                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ERDŐSMECSKE         |IFJ.|KELLER JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ERZSÉBET            |DR. |VARGA-PÁL JÓZSEF                    |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |FAZEKASBODA         |    |CSÁNYI JÁNOSNÉ                      |NEM ISMERT                                                
02|BARANYA                  |FEKED               |    |TILLMANN JÓZSEF                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |FELSŐEGERSZEG       |    |PAPP MAGDOLNA JOLÁN                 |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |FELSŐSZENTMÁRTON    |    |LANTOS MIHÁLY                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GARÉ                |    |LOWESCHER JÁNOS                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GERDE               |    |BEKE BÉLA                           |FKGP-MDF-KDNP                                             
02|BARANYA                  |GERÉNYES            |    |JÓNÁS ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GERESDLAK           |    |KISS GYÖRGY                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GORDISA             |    |BULLA IMRE                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GÖDRE               |    |KOHNER MIHÁLY                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GÖRCSÖNY            |    |BARNA LÁSZLÓ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GÖRCSÖNYDOBOKA      |    |TROSZT JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GYÓD                |IFJ.|SCHMIDT FERENC                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GYÖNGYFA            |    |KOVÁCSEVICS LÁSZLÓ                  |FÜGGETLEN JELÖLT                                          
