01|BUDAPEST  |002|BUDAPEST          02|000004|HORVÁT                        |1|eredményes               |00004078|000005|00001738
01|BUDAPEST  |002|BUDAPEST          02|000006|NÉMET                         |1|eredményes               |00022653|000005|00008124
01|BUDAPEST  |002|BUDAPEST          02|000007|ÖRMÉNY                        |1|eredményes               |00006881|000005|00002375
01|BUDAPEST  |003|BUDAPEST          03|000002|CIGÁNY                        |1|eredményes               |00005827|000005|00002760
01|BUDAPEST  |003|BUDAPEST          03|000006|NÉMET                         |1|eredményes               |00034273|000005|00014734
01|BUDAPEST  |004|BUDAPEST          04|000002|CIGÁNY                        |1|eredményes               |00004579|000005|00002102
01|BUDAPEST  |004|BUDAPEST          04|000004|HORVÁT                        |1|eredményes               |00002818|000005|00001351
01|BUDAPEST  |004|BUDAPEST          04|000006|NÉMET                         |1|eredményes               |00016130|000005|00006527
01|BUDAPEST  |005|BUDAPEST          05|000002|CIGÁNY                        |1|eredményes               |00003283|000005|00001561
01|BUDAPEST  |005|BUDAPEST          05|000007|ÖRMÉNY                        |1|eredményes               |00004819|000005|00002141
01|BUDAPEST  |006|BUDAPEST          06|000002|CIGÁNY                        |1|eredményes               |00003349|000005|00001499
01|BUDAPEST  |006|BUDAPEST          06|000006|NÉMET                         |1|eredményes               |00009054|000005|00003534
01|BUDAPEST  |006|BUDAPEST          06|000007|ÖRMÉNY                        |1|eredményes               |00001454|000005|00000579
01|BUDAPEST  |007|BUDAPEST          07|000002|CIGÁNY                        |1|eredményes               |00004226|000005|00002178
01|BUDAPEST  |007|BUDAPEST          07|000004|HORVÁT                        |1|eredményes               |00007893|000005|00003511
01|BUDAPEST  |008|BUDAPEST          08|000002|CIGÁNY                        |1|eredményes               |00024067|000005|00008432
01|BUDAPEST  |009|BUDAPEST          09|000002|CIGÁNY                        |1|eredményes               |00018699|000005|00007057
01|BUDAPEST  |010|BUDAPEST          10|000002|CIGÁNY                        |1|eredményes               |00004570|000005|00002612
01|BUDAPEST  |010|BUDAPEST          10|000004|HORVÁT                        |1|eredményes               |00006018|000005|00002718
01|BUDAPEST  |011|BUDAPEST          11|000006|NÉMET                         |1|eredményes               |00037516|000005|00016689
01|BUDAPEST  |011|BUDAPEST          11|000007|ÖRMÉNY                        |1|eredményes               |00008572|000005|00003306
01|BUDAPEST  |012|BUDAPEST          12|000004|HORVÁT                        |1|eredményes               |00002089|000005|00000756
01|BUDAPEST  |012|BUDAPEST          12|000006|NÉMET                         |1|eredményes               |00019964|000005|00006608
01|BUDAPEST  |012|BUDAPEST          12|000007|ÖRMÉNY                        |1|eredményes               |00004370|000005|00001458
01|BUDAPEST  |012|BUDAPEST          12|000011|SZLOVÁK                       |1|eredményes               |00003442|000005|00001290
01|BUDAPEST  |013|BUDAPEST          13|000002|CIGÁNY                        |1|eredményes               |00009353|000005|00004098
01|BUDAPEST  |013|BUDAPEST          13|000006|NÉMET                         |1|eredményes               |00018535|000005|00006867
01|BUDAPEST  |014|BUDAPEST          14|000002|CIGÁNY                        |1|eredményes               |00007197|000005|00002869
01|BUDAPEST  |014|BUDAPEST          14|000004|HORVÁT                        |1|eredményes               |00011297|000005|00004795
01|BUDAPEST  |014|BUDAPEST          14|000007|ÖRMÉNY                        |1|eredményes               |00003344|000005|00001234
01|BUDAPEST  |015|BUDAPEST          15|000002|CIGÁNY                        |1|eredményes               |00003951|000005|00002103
01|BUDAPEST  |015|BUDAPEST          15|000004|HORVÁT                        |1|eredményes               |00002769|000005|00001247
01|BUDAPEST  |015|BUDAPEST          15|000006|NÉMET                         |1|eredményes               |00012888|000005|00005501
01|BUDAPEST  |017|BUDAPEST          17|000002|CIGÁNY                        |1|eredményes               |00007581|000005|00005057
01|BUDAPEST  |019|BUDAPEST          19|000002|CIGÁNY                        |1|eredményes               |00009383|000005|00005107
01|BUDAPEST  |020|BUDAPEST          20|000002|CIGÁNY                        |1|eredményes               |00010701|000005|00003913
01|BUDAPEST  |021|BUDAPEST          21|000002|CIGÁNY                        |1|eredményes               |00003559|000005|00001686
01|BUDAPEST  |021|BUDAPEST          21|000006|NÉMET                         |1|eredményes               |00014120|000005|00006086
01|BUDAPEST  |022|BUDAPEST          22|000002|CIGÁNY                        |1|eredményes               |00001462|000005|00000765
01|BUDAPEST  |022|BUDAPEST          22|000004|HORVÁT                        |1|eredményes               |00001282|000005|00000506
01|BUDAPEST  |022|BUDAPEST          22|000006|NÉMET                         |1|eredményes               |00011183|000005|00005098
01|BUDAPEST  |023|BUDAPEST          23|000002|CIGÁNY                        |1|eredményes               |00000470|000005|00000194
01|BUDAPEST  |023|BUDAPEST          23|000006|NÉMET                         |1|eredményes               |00008490|000005|00003762
