01|BUDAPEST  |002|BUDAPEST          02|00000004|HORVÁT                        |00067008|01|    HORVÁTH ÁGNES                       |000000|FÜGGETLEN                     |1|nyert                         |00001158
01|BUDAPEST  |002|BUDAPEST          02|00000004|HORVÁT                        |00071677|02|    LETENYEI LÁSZLÓNÉ                   |000000|FÜGGETLEN                     |1|nyert                         |00000707
01|BUDAPEST  |002|BUDAPEST          02|00000004|HORVÁT                        |00001291|03|DR  MOKUTER IVÁN                        |000000|FÜGGETLEN                     |1|nyert                         |00000803
01|BUDAPEST  |002|BUDAPEST          02|00000004|HORVÁT                        |00003799|04|    ROMÁCZ JÓZSEF                       |000000|FÜGGETLEN                     |1|nyert                         |00000630
01|BUDAPEST  |002|BUDAPEST          02|00000004|HORVÁT                        |00004690|05|    VUITY ISTVÁN                        |000000|FÜGGETLEN                     |1|nyert                         |00000780
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00066607|01|    DÉZSI JÁNOSNÉ                       |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |1|nyert                         |00004683
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00011610|02|    EISELE ANDRÁS                       |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |1|nyert                         |00003291
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00025261|03|    GARAMVÖLGYI FERENC                  |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |1|nyert                         |00004109
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00015969|04|    KELLNER HENRIK                      |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |1|nyert                         |00003672
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00001968|05|    KRIX GYÖRGY                         |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |1|nyert                         |00002903
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00003962|06|    KUNSÁGI JÁNOS                       |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |3|nem nyert                     |00001882
01|BUDAPEST  |002|BUDAPEST          02|00000006|NÉMET                         |00018633|07|    TRAUB JENŐ                          |010081|PNN ALAPÍTVÁNY-J.B.KÖZÖSSÉG   |3|nem nyert                     |00002113
01|BUDAPEST  |002|BUDAPEST          02|00000007|ÖRMÉNY                        |00064463|01|DR  DETRE CSABÁNÉ                       |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00001430
01|BUDAPEST  |002|BUDAPEST          02|00000007|ÖRMÉNY                        |00063760|02|DR  ISSEKUTZ SAROLTA                    |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00001810
01|BUDAPEST  |002|BUDAPEST          02|00000007|ÖRMÉNY                        |00009342|03|    KÁROLYI JÁNOS                       |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00001179
01|BUDAPEST  |002|BUDAPEST          02|00000007|ÖRMÉNY                        |00077236|04|    KÁROLYI ZSASZMEN                    |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00001284
01|BUDAPEST  |002|BUDAPEST          02|00000007|ÖRMÉNY                        |00041295|05|    SZABÓ LÁSZLÓ                        |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00001178
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00052088|01|    FARKAS VILMOS                       |000000|FÜGGETLEN                     |1|nyert                         |00001113
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00024840|02|    FÁTYOL MIHÁLY                       |010145|CIGÁNY IFJÚSÁGI SZÖVETSÉG     |1|nyert                         |00001342
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00046592|03|    KÓNYA TIBOR JÓZSEF                  |000000|FÜGGETLEN                     |1|nyert                         |00000784
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00055909|04|    MUSA FERENC                         |000000|FÜGGETLEN                     |1|nyert                         |00000628
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00058494|05|    MUSA ZOLTÁN                         |000000|FÜGGETLEN                     |3|nem nyert                     |00000575
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00055508|06|    ÖKRÖS JÓZSEF                        |000000|FÜGGETLEN                     |3|nem nyert                     |00000581
01|BUDAPEST  |003|BUDAPEST          03|00000002|CIGÁNY                        |00052059|07|    SÁRKÖZI SÁNDOR                      |000000|FÜGGETLEN                     |1|nyert                         |00000804
01|BUDAPEST  |003|BUDAPEST          03|00000006|NÉMET                         |00022152|01|DR  FEHÉRVÁRI JÓZSEF                    |010152|BRAUNHAXLER,ÓBUDAI NÉMET EGY. |1|nyert                         |00007712
01|BUDAPEST  |003|BUDAPEST          03|00000006|NÉMET                         |00017655|02|    HOFFMANN PÉTER                      |010152|BRAUNHAXLER,ÓBUDAI NÉMET EGY. |1|nyert                         |00005056
01|BUDAPEST  |003|BUDAPEST          03|00000006|NÉMET                         |00006949|03|DR  MERCZ LÁSZLÓ                        |010152|BRAUNHAXLER,ÓBUDAI NÉMET EGY. |1|nyert                         |00006029
01|BUDAPEST  |003|BUDAPEST          03|00000006|NÉMET                         |00008039|04|    MILLINGER ALFRÉD                    |010152|BRAUNHAXLER,ÓBUDAI NÉMET EGY. |1|nyert                         |00004505
01|BUDAPEST  |003|BUDAPEST          03|00000006|NÉMET                         |00007809|05|    SZÖLLÖSI IMRE                       |010152|BRAUNHAXLER,ÓBUDAI NÉMET EGY. |1|nyert                         |00004737
