01|BUDAPEST  |001|BUDAPEST          01|00100127|FKGP-MIÉP                     |00000724|001
01|BUDAPEST  |001|BUDAPEST          01|00100126|KÖZTÁRSASÁG PÁRT              |00000295|000
01|BUDAPEST  |001|BUDAPEST          01|00100123|NYUGDÍJASOK PÁRTJA            |00000300|000
01|BUDAPEST  |001|BUDAPEST          01|00100125|MUNKÁSPÁRT                    |00000431|000
01|BUDAPEST  |001|BUDAPEST          01|00100124|MDF-KDNP-FIDESZ               |00000395|000
01|BUDAPEST  |001|BUDAPEST          01|00100122|MAGYAR SZOCIALISTA PÁRT       |00002227|004
01|BUDAPEST  |001|BUDAPEST          01|00100121|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00002204|004
01|BUDAPEST  |002|BUDAPEST          02|00100226|II.KER IP TEST.               |00002307|001
01|BUDAPEST  |002|BUDAPEST          02|00100221|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00002314|001
01|BUDAPEST  |002|BUDAPEST          02|00100225|MDF-KDNP-FIDESZ               |00004394|003
01|BUDAPEST  |002|BUDAPEST          02|00100224|MSZP-SZDSZ                    |00009840|006
01|BUDAPEST  |002|BUDAPEST          02|00100222|MUNKÁSPÁRT                    |00001228|000
01|BUDAPEST  |002|BUDAPEST          02|00100223|FÜGGETLEN KISGAZDAPÁRT        |00002314|001
01|BUDAPEST  |003|BUDAPEST          03|00100325|MAGYAR SZOCIALISTA PÁRT       |00006055|004
01|BUDAPEST  |003|BUDAPEST          03|00100322|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00007261|004
01|BUDAPEST  |003|BUDAPEST          03|00100326|KÖZTÁRSASÁG PÁRT              |00002607|002
01|BUDAPEST  |003|BUDAPEST          03|00100323|MUNKÁSPÁRT                    |00002410|001
01|BUDAPEST  |003|BUDAPEST          03|00100324|MDF-FIDESZ-KDNP               |00005004|003
01|BUDAPEST  |003|BUDAPEST          03|00100327|FKGP-MIÉP                     |00002510|001
01|BUDAPEST  |004|BUDAPEST          04|00100428|MAGYAR DEMOKRATA FÓRUM        |00002192|002
01|BUDAPEST  |004|BUDAPEST          04|00100426|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00001919|001
01|BUDAPEST  |004|BUDAPEST          04|00100425|FKGP-MIÉP                     |00002101|002
01|BUDAPEST  |004|BUDAPEST          04|00100422|KÖZTÁRSASÁG PÁRT              |00000250|000
01|BUDAPEST  |004|BUDAPEST          04|00100421|ÚJPESTÉRT EGYESÜLET           |00002605|002
01|BUDAPEST  |004|BUDAPEST          04|00100429|MUNKÁSPÁRT                    |00001048|001
01|BUDAPEST  |004|BUDAPEST          04|00100427|FIDESZ                        |00001840|001
01|BUDAPEST  |004|BUDAPEST          04|00100424|MAGYAR SZOCIALISTA PÁRT       |00001127|001
01|BUDAPEST  |004|BUDAPEST          04|00100423|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00003568|003
01|BUDAPEST  |005|BUDAPEST          05|00100527|TÁRSADALMIKAMARA              |00000829|001
01|BUDAPEST  |005|BUDAPEST          05|00100526|MIÉP-FKGP                     |00000390|000
01|BUDAPEST  |005|BUDAPEST          05|00100525|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00002075|003
01|BUDAPEST  |005|BUDAPEST          05|00100521|FIDESZ-KDNP-MDF               |00001128|001
01|BUDAPEST  |005|BUDAPEST          05|00100524|EGYESÜLET A BELVÁROS JÖVÕJÉÉRT|00001146|001
01|BUDAPEST  |005|BUDAPEST          05|00100522|MUNKÁSPÁRT                    |00000522|000
01|BUDAPEST  |005|BUDAPEST          05|00100523|MAGYAR SZOCIALISTA PÁRT       |00002365|003
01|BUDAPEST  |006|BUDAPEST          06|00100628|POLGÁRI ÖNTEVÉKENY CSOPORT    |00000080|000
01|BUDAPEST  |006|BUDAPEST          06|00100629|FIDESZ                        |00000766|001
01|BUDAPEST  |006|BUDAPEST          06|00100626|MAGYAR DEMOKRATA FÓRUM        |00003655|004
01|BUDAPEST  |006|BUDAPEST          06|00100625|TERÉZVÁROSI POLGÁRÕRSÉG       |00000325|000
01|BUDAPEST  |006|BUDAPEST          06|00100624|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00002183|003
01|BUDAPEST  |006|BUDAPEST          06|00100623|MUNKÁSPÁRT                    |00000563|000
01|BUDAPEST  |006|BUDAPEST          06|00100621|FKGP-MIÉP                     |00000883|001
01|BUDAPEST  |006|BUDAPEST          06|00100622|MSZP-SZDSZ                    |00000292|000
01|BUDAPEST  |006|BUDAPEST          06|00100627|TERÉZV-I FÜGGETLEN POLGÁRI KÖR|00001111|001
01|BUDAPEST  |007|BUDAPEST          07|00100724|MDF-FIDESZ-KDNP               |00004230|004
01|BUDAPEST  |007|BUDAPEST          07|00100725|MAGYAR SZOCIALISTA PÁRT       |00001757|002
01|BUDAPEST  |007|BUDAPEST          07|00100723|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00004391|004
01|BUDAPEST  |007|BUDAPEST          07|00100721|MUNKÁSPÁRT                    |00000549|000
01|BUDAPEST  |007|BUDAPEST          07|00100722|FKGP-MIÉP                     |00001693|002
01|BUDAPEST  |008|BUDAPEST          08|00100821|MAGYAR SZOCIALISTA PÁRT       |00003518|003
01|BUDAPEST  |008|BUDAPEST          08|00100824|FKGP-MIÉP                     |00001219|001
01|BUDAPEST  |008|BUDAPEST          08|00100823|MUNKÁSPÁRT                    |00001001|001
01|BUDAPEST  |008|BUDAPEST          08|00100822|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00004080|004
01|BUDAPEST  |008|BUDAPEST          08|00100825|MDF-FIDESZ-KDNP               |00002568|003
01|BUDAPEST  |009|BUDAPEST          09|00100924|SZDSZ-MDF-KDNP-FIDESZ         |00002003|003
01|BUDAPEST  |009|BUDAPEST          09|00100921|MAGYAR SZOCIALISTA PÁRT       |00004278|005
01|BUDAPEST  |009|BUDAPEST          09|00100925|FKGP-MIÉP                     |00000680|001
01|BUDAPEST  |009|BUDAPEST          09|00100926|IX. KERÜLETI POLGÁRI TÁRSASÁG |00001111|001
01|BUDAPEST  |009|BUDAPEST          09|00100922|MUNKÁSPÁRT                    |00000891|001
01|BUDAPEST  |010|BUDAPEST          10|00101025|MAGYAR DEMOKRATA FÓRUM        |00002259|003
01|BUDAPEST  |010|BUDAPEST          10|00101023|FKGP-MIÉP                     |00001341|001
01|BUDAPEST  |010|BUDAPEST          10|00101026|MSZDP                         |00000403|000
01|BUDAPEST  |010|BUDAPEST          10|00101028|FIDESZ                        |00001683|002
01|BUDAPEST  |010|BUDAPEST          10|00101022|MAGYAR SZOCIALISTA PÁRT       |00002129|002
01|BUDAPEST  |010|BUDAPEST          10|00101027|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00000431|000
01|BUDAPEST  |010|BUDAPEST          10|00101024|MUNKÁSPÁRT                    |00000946|001
01|BUDAPEST  |010|BUDAPEST          10|00101021|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00002891|003
01|BUDAPEST  |011|BUDAPEST          11|00101122|MUNKÁSPÁRT                    |00002460|001
01|BUDAPEST  |011|BUDAPEST          11|00101123|MDF-FIDESZ-KDNP               |00006367|003
01|BUDAPEST  |011|BUDAPEST          11|00101121|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00009109|005
01|BUDAPEST  |011|BUDAPEST          11|00101125|FKGP-MIÉP                     |00004257|002
01|BUDAPEST  |011|BUDAPEST          11|00101124|MAGYAR SZOCIALISTA PÁRT       |00008563|005
01|BUDAPEST  |012|BUDAPEST          12|00101225|MUNKÁSPÁRT                    |00001073|001
01|BUDAPEST  |012|BUDAPEST          12|00101226|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00004501|004
01|BUDAPEST  |012|BUDAPEST          12|00101222|KÖZTÁRSASÁG PÁRT              |00002023|002
01|BUDAPEST  |012|BUDAPEST          12|00101227|TKKE                          |00000761|000
01|BUDAPEST  |012|BUDAPEST          12|00101224|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00000000|000
01|BUDAPEST  |012|BUDAPEST          12|00101223|FIDESZ                        |00000000|000
01|BUDAPEST  |012|BUDAPEST          12|00101228|MAGYAR DEMOKRATA FÓRUM        |00000000|000
01|BUDAPEST  |012|BUDAPEST          12|00101221|MAGYAR SZOCIALISTA PÁRT       |00004262|004
01|BUDAPEST  |013|BUDAPEST          13|00101322|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00007801|005
01|BUDAPEST  |013|BUDAPEST          13|00101321|FIDESZ-KDNP-MDF               |00008467|006
01|BUDAPEST  |013|BUDAPEST          13|00101325|MUNKÁSPÁRT                    |00001944|001
01|BUDAPEST  |013|BUDAPEST          13|00101323|FKGP-MIÉP                     |00001979|001
01|BUDAPEST  |013|BUDAPEST          13|00101324|MAGYAR SZOCIALISTA PÁRT       |00001355|001
01|BUDAPEST  |014|BUDAPEST          14|00101421|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00002542|001
01|BUDAPEST  |014|BUDAPEST          14|00101422|MAGYAR SZOCIALISTA PÁRT       |00005763|003
01|BUDAPEST  |014|BUDAPEST          14|00101423|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00008834|005
01|BUDAPEST  |014|BUDAPEST          14|00101426|FIDESZ                        |00002542|001
01|BUDAPEST  |014|BUDAPEST          14|00101424|KÖZTÁRSASÁG PÁRT              |00000988|000
01|BUDAPEST  |014|BUDAPEST          14|00101427|FKGP-MIÉP                     |00002546|002
01|BUDAPEST  |014|BUDAPEST          14|00101428|MAGYAR DEMOKRATA FÓRUM        |00002542|001
01|BUDAPEST  |014|BUDAPEST          14|00101425|MUNKÁSPÁRT                    |00002788|002
01|BUDAPEST  |015|BUDAPEST          15|00101524|MAGYAR DEMOKRATA FÓRUM        |00001354|001
01|BUDAPEST  |015|BUDAPEST          15|00101527|FIDESZ                        |00001354|001
01|BUDAPEST  |015|BUDAPEST          15|00101523|MUNKÁSPÁRT                    |00001276|001
01|BUDAPEST  |015|BUDAPEST          15|00101528|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00004032|003
01|BUDAPEST  |015|BUDAPEST          15|00101525|POLGÁRI ÉRDEKKÉPVISELEI EGY.  |00001270|001
01|BUDAPEST  |015|BUDAPEST          15|00101529|MAGYAR SZOCIALISTA PÁRT       |00001165|001
01|BUDAPEST  |015|BUDAPEST          15|00101522|FKGP-MIÉP                     |00003644|002
01|BUDAPEST  |015|BUDAPEST          15|00101521|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00001354|001
01|BUDAPEST  |015|BUDAPEST          15|00101526|MSZMP                         |00001130|001
01|BUDAPEST  |016|BUDAPEST          16|00101622|MDF-KDNP                      |00000744|000
01|BUDAPEST  |016|BUDAPEST          16|00101626|EGYESÜLET A XVI. KERÜLETÉRT   |00001753|002
01|BUDAPEST  |016|BUDAPEST          16|00101623|MUNKÁSPÁRT                    |00000745|000
01|BUDAPEST  |016|BUDAPEST          16|00101627|KÖZTÁRSASÁG PÁRT              |00001294|001
01|BUDAPEST  |016|BUDAPEST          16|00101625|INGATLANTULAJDONOSOK SZÖVETSÉG|00001647|001
01|BUDAPEST  |016|BUDAPEST          16|00101624|MAGYAR SZOCIALISTA PÁRT       |00003503|003
01|BUDAPEST  |016|BUDAPEST          16|00101621|FKGP-MIÉP                     |00000993|001
01|BUDAPEST  |016|BUDAPEST          16|00101628|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00001940|002
01|BUDAPEST  |016|BUDAPEST          16|00101629|FIDESZ                        |00001130|001
01|BUDAPEST  |017|BUDAPEST          17|00101722|MAGYAR SZOCIALISTA PÁRT       |00003826|005
01|BUDAPEST  |017|BUDAPEST          17|00101724|MUNKÁSPÁRT                    |00000572|000
01|BUDAPEST  |017|BUDAPEST          17|00101725|FKGP-MIÉP                     |00002173|003
01|BUDAPEST  |017|BUDAPEST          17|00101726|POLGÁRI VÁLASZTÁSI SZÖVETSÉG  |00002070|002
01|BUDAPEST  |017|BUDAPEST          17|00101721|NAGYCSALÁDOSOK ORSZÁGOS EGY-E |00000567|000
01|BUDAPEST  |017|BUDAPEST          17|00101723|SZDSZ-MDF-KDNP-FIDESZ         |00001006|001
01|BUDAPEST  |018|BUDAPEST          18|00101824|PESTSZENTLÕRINCI POLGÁRIEGYLET|00000694|000
01|BUDAPEST  |018|BUDAPEST          18|00101825|MUNKÁSPÁRT                    |00000632|000
01|BUDAPEST  |018|BUDAPEST          18|00101827|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00004199|004
01|BUDAPEST  |018|BUDAPEST          18|00101826|MAGYAR SZOCIALISTA PÁRT       |00001676|002
01|BUDAPEST  |018|BUDAPEST          18|00101823|FKGP-MIÉP                     |00002864|003
01|BUDAPEST  |018|BUDAPEST          18|00101822|MDF-FIDESZ-KDNP               |00004465|004
01|BUDAPEST  |018|BUDAPEST          18|00101821|KP-LPSZVP                     |00000672|000
01|BUDAPEST  |019|BUDAPEST          19|00101926|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00003657|004
01|BUDAPEST  |019|BUDAPEST          19|00101927|MUNKÁSPÁRT                    |00000646|000
01|BUDAPEST  |019|BUDAPEST          19|00101925|FKGP-MIÉP                     |00001275|001
01|BUDAPEST  |019|BUDAPEST          19|00101924|P.KEREKASZTAL,FIDESZ,KDNP,MDF |00001582|001
01|BUDAPEST  |019|BUDAPEST          19|00101922|NAGYCSALÁDOSOK ORSZÁGOS EGY-E |00000783|001
01|BUDAPEST  |019|BUDAPEST          19|00101921|MAGYAR SZOCIALISTA PÁRT       |00003981|004
01|BUDAPEST  |019|BUDAPEST          19|00101923|KÖZTÁRSASÁG PÁRT              |00000353|000
01|BUDAPEST  |020|BUDAPEST          20|00102021|MAGYAR SZOCIALISTA PÁRT       |00000512|000
01|BUDAPEST  |020|BUDAPEST          20|00102022|KÖZTÁRSASÁG PÁRT              |00000663|001
01|BUDAPEST  |020|BUDAPEST          20|00102023|FIDESZ-KDNP-MDF               |00003258|004
01|BUDAPEST  |020|BUDAPEST          20|00102024|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00003055|004
01|BUDAPEST  |020|BUDAPEST          20|00102026|MUNKÁSPÁRT                    |00000431|000
01|BUDAPEST  |020|BUDAPEST          20|00102025|FKGP-MIÉP                     |00001433|002
01|BUDAPEST  |021|BUDAPEST          21|00102126|KÖZTÁRSASÁG PÁRT              |00001021|001
01|BUDAPEST  |021|BUDAPEST          21|00102124|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00001021|001
01|BUDAPEST  |021|BUDAPEST          21|00102122|MAGYAR SZOCIALISTA PÁRT       |00000587|000
01|BUDAPEST  |021|BUDAPEST          21|00102127|FKGP-MIÉP                     |00001342|001
01|BUDAPEST  |021|BUDAPEST          21|00102125|MAGYAR DEMOKRATA FÓRUM        |00001021|001
01|BUDAPEST  |021|BUDAPEST          21|00102128|FIDESZ                        |00001573|002
01|BUDAPEST  |021|BUDAPEST          21|00102123|MUNKÁSPÁRT                    |00001532|002
01|BUDAPEST  |021|BUDAPEST          21|00102121|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00003409|004
01|BUDAPEST  |022|BUDAPEST          22|00102224|FKGP-MIÉP                     |00001355|002
01|BUDAPEST  |022|BUDAPEST          22|00102225|KÖZTÁRSASÁG PÁRT              |00000853|001
01|BUDAPEST  |022|BUDAPEST          22|00102223|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00001173|001
01|BUDAPEST  |022|BUDAPEST          22|00102227|MAGYAR EGÉSZSÉG PÁRT          |00000204|000
01|BUDAPEST  |022|BUDAPEST          22|00102222|MAGYAR SZOCIALISTA PÁRT       |00000994|001
01|BUDAPEST  |022|BUDAPEST          22|00102226|BUDAFOK-TÉTÉNY BARÁTI KÖRÖK E |00001561|002
01|BUDAPEST  |022|BUDAPEST          22|00102221|FIDESZ-KDNP-MDF               |00003086|003
01|BUDAPEST  |023|BUDAPEST          23|00102324|BALOLDALI IFJUSÁGI TÁRSULÁS   |00000127|000
01|BUDAPEST  |023|BUDAPEST          23|00102323|FIDESZ                        |00000406|001
01|BUDAPEST  |023|BUDAPEST          23|00102322|KDNP, MDF, FKGP               |00000579|001
01|BUDAPEST  |023|BUDAPEST          23|00102325|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00000722|001
01|BUDAPEST  |023|BUDAPEST          23|00102321|POLGÁRI SZÖVETSÉG SOROKSÁRÉRT |00000861|002
01|BUDAPEST  |023|BUDAPEST          23|00102326|MAGYAR SZOCIALISTA PÁRT       |00000937|002
02|BARANYA   |138|KOMLÓ               |00213828|MUNKÁSPÁRT                    |00000505|001
02|BARANYA   |138|KOMLÓ               |00213829|KÖZTÁRSASÁG PÁRT              |00000161|000
02|BARANYA   |138|KOMLÓ               |00213833|MECSEKI MUNKÁSTANÁCSOK SZÖV.  |00000219|000
02|BARANYA   |138|KOMLÓ               |00213834|FÜGGETLEN KISGAZDAPÁRT        |00000105|000
02|BARANYA   |138|KOMLÓ               |00213832|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00000271|001
02|BARANYA   |138|KOMLÓ               |00213831|VÁROSSZÉPÍTÕ EGYESÜLET KOMLÓ  |00000532|002
02|BARANYA   |138|KOMLÓ               |00213830|IPARTESTÜLET KOMLÓ            |00000082|000
02|BARANYA   |138|KOMLÓ               |00213822|NYUGDÍJAS EGYESÜLET           |00000216|000
02|BARANYA   |138|KOMLÓ               |00213824|MAGYAR SZOCIALISTA PÁRT       |00000763|002
02|BARANYA   |138|KOMLÓ               |00213821|FIDESZ                        |00000319|001
02|BARANYA   |138|KOMLÓ               |00213823|LAKÁSBÉRLÕK EGYESÜLETE KOMLÓ  |00000091|000
02|BARANYA   |138|KOMLÓ               |00213826|MAGYAR DEMOKRATA FÓRUM        |00000428|001
02|BARANYA   |138|KOMLÓ               |00213825|KOMLÓI POLGÁRI KÖR            |00000300|001
02|BARANYA   |182|MOHÁCS              |00218223|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00000482|001
02|BARANYA   |182|MOHÁCS              |00218226|FIDESZ                        |00000586|001
02|BARANYA   |182|MOHÁCS              |00218228|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00000125|000
02|BARANYA   |182|MOHÁCS              |00218221|FÜGGETLEN KISGAZDAPÁRT        |00000467|001
02|BARANYA   |182|MOHÁCS              |00218230|MAGYAR SZOCIALISTA PÁRT       |00000622|001
02|BARANYA   |182|MOHÁCS              |00218227|KÖZTÁRSASÁG PÁRT              |00000413|001
02|BARANYA   |182|MOHÁCS              |00218229|MOHÁCSI VÁROSVÉDÕ EGYESÜLET   |00000332|000
02|BARANYA   |182|MOHÁCS              |00218225|KDNP-MDF                      |00000608|001
02|BARANYA   |182|MOHÁCS              |00218222|MUNKÁSPÁRT                    |00000081|000
02|BARANYA   |218|PÉCS                |00221832|LENAU EGYESÜLET               |00000377|000
02|BARANYA   |218|PÉCS                |00221827|TÁRSADALMI EGYESÜLÉSEK SZÖV.  |00000714|000
02|BARANYA   |218|PÉCS                |00221822|KÖZTÁRSASÁG PÁRT              |00002359|002
