01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |001|DR. DEMSZKY GÁBOR                       |5|Máshol nyert mandátumot
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |002|DR. SZOLNOKI ANDREA                     |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |003|    RÁDAY MIHÁLY                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |004|    SZÉKELY GÁBOR MIHÁLY                |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |005|DR. SCHNELLER ISTVÁN                    |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |006|DR. BŐHM ANDRÁS                         |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |007|    HŐNIGH ANTAL                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |008|    ATKÁRI JÁNOS                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |009|    MADARÁSZ ALADÁR                     |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |010|    GYŐRI PÉTER                         |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |011|    DÓCI JÓZSEF                         |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |012|    VÉG GÁBOR                           |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |013|    ELTÉR ISTVÁN                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |014|    HUBERT BÉLA                         |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |015|DR  VÉCSEI PÁL                          |1|nyert
