01|001|4|Kompenzációs lista            |  1|MSZP-SZDSZ                    |  8|  0|
01|001|4|Kompenzációs lista            |  2|MDF                           |  1|  0|
01|001|4|Kompenzációs lista            |  3|VLSZ                          |  0|  0|
01|001|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|001|4|Kompenzációs lista            |  5|MIÉP                          |  0|  0|
01|002|4|Kompenzációs lista            |  1|MIÉP                          |  0|  0|
01|002|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  1|  0|
01|002|4|Kompenzációs lista            |  3|MSZP-SZDSZ                    | 10|  0|
01|002|4|Kompenzációs lista            |  4|MDF                           |  1|  0|
01|002|4|Kompenzációs lista            |  5|MVSZ                          |  0|  0|
01|002|4|Kompenzációs lista            |  6|BUDAPEST TÁRS.                |  0|  0|
01|002|4|Kompenzációs lista            |  7|HUMANISTA PÁRT                |  0|  0|
01|003|4|Kompenzációs lista            |  1|ÓCKE                          |  0|  0|
01|003|4|Kompenzációs lista            |  2|CENTRUM                       |  0|  0|
01|003|4|Kompenzációs lista            |  3|SZDSZ                         |  3|  0|
01|003|4|Kompenzációs lista            |  4|OBE                           |  1|  0|
01|003|4|Kompenzációs lista            |  5|MDF                           |  1|  0|
01|003|4|Kompenzációs lista            |  6|HUMANISTA PÁRT                |  0|  0|
01|003|4|Kompenzációs lista            |  7|MIÉP                          |  0|  0|
01|003|4|Kompenzációs lista            |  8|MSZP                          |  5|  0|
01|003|4|Kompenzációs lista            |  9|FIDESZ                        |  2|  0|
01|003|4|Kompenzációs lista            | 10|BUDAPEST TÁRS.                |  0|  0|
01|003|4|Kompenzációs lista            | 11|KDNP                          |  2|  0|
01|003|4|Kompenzációs lista            | 12|JOBBIK                        |  0|  0|
01|004|4|Kompenzációs lista            |  1|MSZP                          |  2|  0|
01|004|4|Kompenzációs lista            |  2|Újpestért E.                  |  5|  0|
01|004|4|Kompenzációs lista            |  3|SZDSZ                         |  1|  0|
01|004|4|Kompenzációs lista            |  4|MUNKÁSPÁRT                    |  0|  0|
01|004|4|Kompenzációs lista            |  5|ÚSZR                          |  0|  0|
01|004|4|Kompenzációs lista            |  6|MIÉP                          |  0|  0|
01|004|4|Kompenzációs lista            |  7|FIDESZ                        |  5|  0|
01|005|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  3|  0|
01|005|4|Kompenzációs lista            |  2|BLPE                          |  0|  0|
01|005|4|Kompenzációs lista            |  3|RENDPÁRTI EGYESÜLET           |  0|  0|
01|005|4|Kompenzációs lista            |  4|SZDSZ                         |  0|  0|
01|005|4|Kompenzációs lista            |  5|MDF                           |  0|  0|
01|005|4|Kompenzációs lista            |  6|BELVAR.JÖV.EGYESÜL.-NYUGD.PÁRT|  1|  0|
01|005|4|Kompenzációs lista            |  7|MSZP-SZDSZ                    |  5|  0|
01|006|4|Kompenzációs lista            |  1|HUMANISTA PÁRT                |  0|  0|
01|006|4|Kompenzációs lista            |  2|MDF                           |  1|  0|
01|006|4|Kompenzációs lista            |  3|TERE                          |  0|  0|
01|006|4|Kompenzációs lista            |  4|MIÉP                          |  0|  0|
01|006|4|Kompenzációs lista            |  5|MSZP-SZDSZ                    |  1|  0|
01|006|4|Kompenzációs lista            |  6|BUDAPEST TÁRS.                |  0|  0|
01|006|4|Kompenzációs lista            |  7|FIDESZ-KDNP                   |  7|  0|
01|007|4|Kompenzációs lista            |  1|HUMANISTA PÁRT                |  0|  0|
01|007|4|Kompenzációs lista            |  2|MIÉP-JOBBIK                   |  0|  0|
01|007|4|Kompenzációs lista            |  3|SZDSZ                         |  2|  0|
01|007|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  4|  0|
01|007|4|Kompenzációs lista            |  5|MSZP                          |  3|  0|
01|007|4|Kompenzációs lista            |  6|MDF                           |  1|  0|
01|008|4|Kompenzációs lista            |  1|MUNKÁSPÁRT                    |  0|  0|
01|008|4|Kompenzációs lista            |  2|EJE                           |  0|  0|
01|008|4|Kompenzációs lista            |  3|FIDESZ-KDNP                   |  2|  0|
01|008|4|Kompenzációs lista            |  4|MSZP                          |  5|  0|
01|008|4|Kompenzációs lista            |  5|SZDSZ                         |  3|  0|
01|008|4|Kompenzációs lista            |  6|MIÉP                          |  0|  0|
01|008|4|Kompenzációs lista            |  7|MDF                           |  1|  0|
01|009|4|Kompenzációs lista            |  1|CENTRUM                       |  0|  0|
01|009|4|Kompenzációs lista            |  2|MIÉP                          |  0|  0|
01|009|4|Kompenzációs lista            |  3|FePSZ                         |  0|  0|
01|009|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  4|  0|
01|009|4|Kompenzációs lista            |  5|MSZDP                         |  0|  0|
01|009|4|Kompenzációs lista            |  6|MSZP                          |  0|  0|
01|009|4|Kompenzációs lista            |  7|MDF                           |  1|  0|
01|009|4|Kompenzációs lista            |  8|SZDSZ                         |  1|  0|
01|009|4|Kompenzációs lista            |  9|MSZP-SZDSZ                    |  4|  0|
01|009|4|Kompenzációs lista            | 10|MUNKÁSPÁRT                    |  0|  0|
01|010|4|Kompenzációs lista            |  1|MDF                           |  0|  0|
01|010|4|Kompenzációs lista            |  2|MUNKÁSPÁRT                    |  0|  0|
01|010|4|Kompenzációs lista            |  3|SZDSZ                         |  2|  0|
01|010|4|Kompenzációs lista            |  4|CENTRUM                       |  0|  0|
01|010|4|Kompenzációs lista            |  5|FIDESZ-KDNP                   |  5|  0|
