01|001|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
01|001|4|Kompenzációs lista            |  2|LMP                           |  1|  0|
01|001|4|Kompenzációs lista            |  3|MSZP                          |  2|  0|
01|001|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|002|4|Kompenzációs lista            |  1|MSZP                          |  3|  0|
01|002|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  0|  0|
01|002|4|Kompenzációs lista            |  3|LMP                           |  2|  0|
01|002|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
01|003|4|Kompenzációs lista            |  1|ITT ÉLÜNK EGYESÜLET           |  1|  0|
01|003|4|Kompenzációs lista            |  2|LMP                           |  1|  0|
01|003|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
01|003|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|003|4|Kompenzációs lista            |  5|MSZP                          |  3|  0|
01|004|4|Kompenzációs lista            |  1|LMP                           |  1|  0|
01|004|4|Kompenzációs lista            |  2|MSZP                          |  4|  0|
01|004|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
01|004|4|Kompenzációs lista            |  4|FIDESZ-UE                     |  0|  0|
01|005|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
01|005|4|Kompenzációs lista            |  2|JOBBIK                        |  1|  0|
01|005|4|Kompenzációs lista            |  3|MSZP                          |  2|  0|
01|005|4|Kompenzációs lista            |  4|LMP                           |  1|  0|
01|006|4|Kompenzációs lista            |  1|MSZP                          |  2|  0|
01|006|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  0|  0|
01|006|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
01|006|4|Kompenzációs lista            |  4|LMP                           |  1|  0|
01|007|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
01|007|4|Kompenzációs lista            |  2|JOBBIK                        |  1|  0|
01|007|4|Kompenzációs lista            |  3|MSZP                          |  2|  0|
01|007|4|Kompenzációs lista            |  4|SZEM                          |  1|  0|
01|007|4|Kompenzációs lista            |  5|LMP                           |  1|  0|
01|007|4|Kompenzációs lista            |  6|FÜGE                          |  0|  0|
01|008|4|Kompenzációs lista            |  1|LMP                           |  1|  0|
01|008|4|Kompenzációs lista            |  2|JOBBIK                        |  1|  0|
01|008|4|Kompenzációs lista            |  3|MDF                           |  0|  0|
01|008|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|008|4|Kompenzációs lista            |  5|MSZP                          |  3|  0|
01|009|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
01|009|4|Kompenzációs lista            |  2|MDF                           |  0|  0|
01|009|4|Kompenzációs lista            |  3|LMP                           |  1|  0|
01|009|4|Kompenzációs lista            |  4|FLE                           |  1|  0|
01|009|4|Kompenzációs lista            |  5|MSZP                          |  2|  0|
01|009|4|Kompenzációs lista            |  6|JOBBIK                        |  1|  0|
01|010|4|Kompenzációs lista            |  1|LMP                           |  1|  0|
01|010|4|Kompenzációs lista            |  2|JOBBIK                        |  1|  0|
01|010|4|Kompenzációs lista            |  3|MSZDP                         |  0|  0|
01|010|4|Kompenzációs lista            |  4|MSZP                          |  3|  0|
01|010|4|Kompenzációs lista            |  5|FIDESZ-KDNP                   |  0|  0|
01|011|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
01|011|4|Kompenzációs lista            |  2|LMP                           |  2|  0|
01|011|4|Kompenzációs lista            |  3|MSZP                          |  4|  0|
01|011|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
01|012|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
01|012|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  0|  0|
01|012|4|Kompenzációs lista            |  3|LMP                           |  2|  0|
01|012|4|Kompenzációs lista            |  4|MSZP                          |  2|  0|
01|013|4|Kompenzációs lista            |  1|LMP                           |  1|  0|
01|013|4|Kompenzációs lista            |  2|MSZP                          |  0|  0|
01|013|4|Kompenzációs lista            |  3|FIDESZ                        |  4|  0|
01|013|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
01|014|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
01|014|4|Kompenzációs lista            |  2|LMP                           |  1|  0|
01|014|4|Kompenzációs lista            |  3|ZÉK EGYESÜLET                 |  1|  0|
01|014|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
01|014|4|Kompenzációs lista            |  5|MSZP                          |  3|  0|
01|015|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
01|015|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  0|  0|
01|015|4|Kompenzációs lista            |  3|CIVIL MOZGALOM                |  0|  0|
01|015|4|Kompenzációs lista            |  4|RÁTE                          |  2|  0|
01|015|4|Kompenzációs lista            |  5|MSZP                          |  2|  0|
01|015|4|Kompenzációs lista            |  6|LMP                           |  1|  0|
01|016|4|Kompenzációs lista            |  1|FŐVE EGYESÜLET                |  0|  0|
01|016|4|Kompenzációs lista            |  2|MSZP                          |  2|  0|
01|016|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
01|016|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|016|4|Kompenzációs lista            |  5|CIVIL MOZGALOM                |  1|  0|
01|016|4|Kompenzációs lista            |  6|LMP                           |  1|  0|
01|017|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
01|017|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  0|  0|
01|017|4|Kompenzációs lista            |  3|MSZP                          |  3|  0|
01|017|4|Kompenzációs lista            |  4|ITTHON                        |  2|  0|
01|018|4|Kompenzációs lista            |  1|MSZP                          |  4|  0|
01|018|4|Kompenzációs lista            |  2|LMP                           |  1|  0|
01|018|4|Kompenzációs lista            |  3|FIDESZ-KDNP                   |  0|  0|
01|018|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
01|018|4|Kompenzációs lista            |  5|CIVIL MOZGALOM                |  0|  0|
01|019|4|Kompenzációs lista            |  1|MDF                           |  0|  0|
01|019|4|Kompenzációs lista            |  2|JOBBIK                        |  1|  0|
01|019|4|Kompenzációs lista            |  3|MSZP                          |  2|  0|
01|019|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  1|  0|
01|019|4|Kompenzációs lista            |  5|LMP                           |  1|  0|
01|020|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
01|020|4|Kompenzációs lista            |  2|MDF                           |  0|  0|
01|020|4|Kompenzációs lista            |  3|FIDESZ-KDNP                   |  1|  0|
01|020|4|Kompenzációs lista            |  4|LMP                           |  1|  0|
01|020|4|Kompenzációs lista            |  5|MSZP                          |  2|  0|
01|021|4|Kompenzációs lista            |  1|MUNKÁSPÁRT                    |  0|  0|
01|021|4|Kompenzációs lista            |  2|MSZP                          |  4|  0|
01|021|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
