1|01|BUDAPEST                 |01|    |VITÁNYI IVÁN                                                |00005277|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |01|    |BÁNFFY GYÖRGY                                               |00012953|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |01|    |HAEFFLER ISTVÁN                                             |00001572|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |01|DR. |KISZELY ISTVÁN                                              |00000546|MAGYAR NÉPPÁRT                
1|01|BUDAPEST                 |01|DR. |DORNBACH ALAJOS                                             |00013992|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |01|DR. |UDVARHELYI LÁSZLÓ                                           |00002262|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |01|    |SEMJÉN ZSOLT                                                |00003152|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |01|    |UNGÁR KLÁRA                                                 |00003912|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |02|    |MORAVCSIK ATTILA                                            |00001433|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |02|    |MORVAY ISTVÁN                                               |00002254|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |02|    |ZSIGMOND ATTILA                                             |00011800|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |02|DR. |RUBOVSZKY GYÖRGY                                            |00003688|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |02|    |BUBLA GYULA                                                 |00005641|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |02|DR. |EÖRSI MÁTYÁS                                                |00012766|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |02|    |CSEH GERGŐ        BENDEGÚZ                                  |00004652|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |03|    |SEBESTYÉN LÁSZLÓ                                            |00000376|MAGYAR NÉPPÁRT                
1|01|BUDAPEST                 |03|DR. |DOLHAY BALÁZS                                               |00001703|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |03|DR. |LÉVAY BÉLA                                                  |00010988|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |03|    |SIKLÓS CSABA                                                |00010842|MAGYAR DEMOKRATA FÓRUM        
