1|01|BUDAPEST                 |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00043400
1|01|BUDAPEST                 |MAGYAR SZOCIALISTA PÁRT       |00135042
1|01|BUDAPEST                 |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00284001
1|01|BUDAPEST                 |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00037004
1|01|BUDAPEST                 |KERESZTÉNYDEMOKRATA NÉPPÁRT   |00060173
1|01|BUDAPEST                 |MAGYAR DEMOKRATA FÓRUM        |00297048
1|01|BUDAPEST                 |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00016983
1|01|BUDAPEST                 |FÜGG. KISGAZDA FÖLDM. POLG. P.|00053209
1|01|BUDAPEST                 |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00120607
1|02|BARANYA                  |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00016879
1|02|BARANYA                  |FÜGG. KISGAZDA FÖLDM. POLG. P.|00032958
1|02|BARANYA                  |KERESZTÉNYDEMOKRATA NÉPPÁRT   |00010647
1|02|BARANYA                  |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00005005
1|02|BARANYA                  |MAGYAR SZOCIALISTA PÁRT       |00018669
1|02|BARANYA                  |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00011529
1|02|BARANYA                  |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00044962
1|02|BARANYA                  |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00007436
1|02|BARANYA                  |MAGYAR DEMOKRATA FÓRUM        |00040845
1|02|BARANYA                  |AGRÁRSZÖVETSÉG                |00013432
1|03|BÁCS-KISKUN              |AGRÁRSZÖVETSÉG                |00011836
1|03|BÁCS-KISKUN              |FÜGG. KISGAZDA FÖLDM. POLG. P.|00047106
1|03|BÁCS-KISKUN              |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00003293
1|03|BÁCS-KISKUN              |MAGYAR DEMOKRATA FÓRUM        |00057077
1|03|BÁCS-KISKUN              |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00006867
1|03|BÁCS-KISKUN              |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00048823
1|03|BÁCS-KISKUN              |VÁLLALKOZÓK PÁRTJA            |00010674
1|03|BÁCS-KISKUN              |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00008174
1|03|BÁCS-KISKUN              |MAGYAR SZOCIALISTA PÁRT       |00019385
1|03|BÁCS-KISKUN              |MAGYAR NÉPPÁRT                |00002908
1|03|BÁCS-KISKUN              |KERESZTÉNYDEMOKRATA NÉPPÁRT   |00011454
1|03|BÁCS-KISKUN              |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00018075
1|04|BÉKÉS                    |AGRÁRSZÖVETSÉG                |00011864
1|04|BÉKÉS                    |MAGYAR NÉPPÁRT                |00003349
1|04|BÉKÉS                    |MAGYAR SZOCIALISTA PÁRT       |00019967
1|04|BÉKÉS                    |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00007819
1|04|BÉKÉS                    |MAGYARORSZÁGI ZÖLD PÁRT       |00004146
1|04|BÉKÉS                    |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00034465
1|04|BÉKÉS                    |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00010347
1|04|BÉKÉS                    |MAGYAR DEMOKRATA FÓRUM        |00046632
1|04|BÉKÉS                    |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00011335
1|04|BÉKÉS                    |FÜGG. KISGAZDA FÖLDM. POLG. P.|00042778
1|04|BÉKÉS                    |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00002815
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |AGRÁRSZÖVETSÉG                |00013329
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |MAGYARORSZÁGI ZÖLD PÁRT       |00007015
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |VÁLLALKOZÓK PÁRTJA            |00007107
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00012154
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00054155
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |MAGYAR SZOCIALISTA PÁRT       |00048092
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00015284
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |FÜGG. KISGAZDA FÖLDM. POLG. P.|00033725
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00005007
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |KERESZTÉNYDEMOKRATA NÉPPÁRT   |00031715
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |MAGYAR NÉPPÁRT                |00004494
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |MAGYAR DEMOKRATA FÓRUM        |00080102
1|05|BORSOD-ABAÚJ-ZEMPLÉN     |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00027944
1|06|CSONGRÁD                 |AGRÁRSZÖVETSÉG                |00008943
1|06|CSONGRÁD                 |MAGYAR DEMOKRATA FÓRUM        |00078664
1|06|CSONGRÁD                 |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00008034
1|06|CSONGRÁD                 |NEMZETI KISGAZDA ÉS POLG. PÁRT|00005916
1|06|CSONGRÁD                 |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00006158
1|06|CSONGRÁD                 |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00027019
1|06|CSONGRÁD                 |MAGYAR SZOCIALISTA PÁRT       |00014960
1|06|CSONGRÁD                 |MAGYAR NÉPPÁRT                |00002302
1|06|CSONGRÁD                 |KERESZTÉNYDEMOKRATA NÉPPÁRT   |00009466
1|06|CSONGRÁD                 |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00012211
1|06|CSONGRÁD                 |FÜGG. KISGAZDA FÖLDM. POLG. P.|00027601
1|06|CSONGRÁD                 |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00002163
1|07|FEJÉR                    |SZABAD DEMOKRATÁK SZÖVETSÉGE  |00048082
1|07|FEJÉR                    |MO.-I SZOCIÁLDEMOKRATA PÁRT   |00009398
1|07|FEJÉR                    |MAGYAR SZOCIALISTA MUNKÁSPÁRT |00006829
1|07|FEJÉR                    |MAGYAR NÉPPÁRT                |00001769
1|07|FEJÉR                    |MAGYAR DEMOKRATA FÓRUM        |00046607
1|07|FEJÉR                    |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00006020
1|07|FEJÉR                    |FÜGG. KISGAZDA FÖLDM. POLG. P.|00023873
1|07|FEJÉR                    |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00016346
1|07|FEJÉR                    |AGRÁRSZÖVETSÉG                |00006769
1|07|FEJÉR                    |VÁLLALKOZÓK PÁRTJA            |00006787
1|07|FEJÉR                    |MAGYAR SZOCIALISTA PÁRT       |00019183
1|08|GYÕR-MOSON-SOPRON        |AGRÁRSZÖVETSÉG                |00005473
1|08|GYÕR-MOSON-SOPRON        |FIATAL DEMOKRATÁK SZÖVETSÉGE  |00025081
1|08|GYÕR-MOSON-SOPRON        |HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  |00002727
1|08|GYÕR-MOSON-SOPRON        |MAGYAR DEMOKRATA FÓRUM        |00048512
