1|01|BUDAPEST  |01|KÖZTÁRSASÁG PÁRT              |00053291                                                                                         
1|01|BUDAPEST  |02|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00062537                                                                                         
1|01|BUDAPEST  |03|MUNKÁSPÁRT                    |00029458                                                                                         
1|01|BUDAPEST  |04|MAGYAR SZOCIALISTA PÁRT       |00391548                                                                                         
1|01|BUDAPEST  |05|FIDESZ                        |00068509                                                                                         
1|01|BUDAPEST  |06|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00231368                                                                                         
1|01|BUDAPEST  |07|MDF                           |00166433                                                                                         
1|01|BUDAPEST  |08|FÜGGETLEN KISGAZDAPÁRT        |00051242                                                                                         
1|01|BUDAPEST  |09|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00039869                                                                                         
1|01|BUDAPEST  |10|AGRÁRSZÖVETSÉG                |00019610                                                                                         
1|02|BARANYA   |01|MAGYAR SZOCIALISTA PÁRT       |00070748                                                                                         
1|02|BARANYA   |02|KÖZTÁRSASÁG PÁRT              |00007376                                                                                         
1|02|BARANYA   |03|MSZDP                         |00003517                                                                                         
1|02|BARANYA   |04|MAGYARORSZÁGI ZÖLD PÁRT       |00001181                                                                                         
1|02|BARANYA   |05|AGRÁRSZÖVETSÉG                |00005086                                                                                         
1|02|BARANYA   |06|FÜGGETLEN KISGAZDAPÁRT        |00018692                                                                                         
1|02|BARANYA   |07|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00047936                                                                                         
1|02|BARANYA   |08|FIDESZ                        |00014550                                                                                         
1|02|BARANYA   |09|MDF                           |00023955                                                                                         
1|02|BARANYA   |10|EGYESÜLT KISGAZDA PÁRT        |00001696                                                                                         
1|02|BARANYA   |11|NEMZETI DEMOKRATÁK            |00001595                                                                                         
1|02|BARANYA   |12|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00013882                                                                                         
1|02|BARANYA   |13|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00003320                                                                                         
1|02|BARANYA   |14|MUNKÁSPÁRT                    |00006906                                                                                         
1|03|BÁCS      |01|MDF                           |00033068                                                                                         
1|03|BÁCS      |02|NEMZETI DEMOKRATÁK            |00001950                                                                                         
1|03|BÁCS      |03|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00004127                                                                                         
1|03|BÁCS      |04|EGYESÜLT KISGAZDA PÁRT        |00004978                                                                                         
1|03|BÁCS      |05|FIDESZ                        |00016948                                                                                         
1|03|BÁCS      |06|AGRÁRSZÖVETSÉG                |00008726                                                                                         
1|03|BÁCS      |07|MAGYAR SZOCIALISTA PÁRT       |00068883                                                                                         
