1|01|BUDAPEST  |01|01|    |CSÓTI GYÖRGY                        |00010057|MDF                                                                       
1|01|BUDAPEST  |01|02|DR. |DORNBACH ALAJOS                     |00010832|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |01|03|    |HEGYI GYULA                         |00009852|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |01|04|DR. |KASSAY LAJOS                        |00001315|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |01|05|    |MÓDOS MÁRTON                        |00002292|FIDESZ                                                                    
1|01|BUDAPEST  |01|06|    |NAGY IVÁN                           |00000862|LPSZ VÁLLALKOZÓK PÁRTJA                                                   
1|01|BUDAPEST  |01|07|    |NAGY RICHÁRD                        |00001101|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |01|08|DR. |SEMJÉN ZSOLT                        |00003552|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |01|09|    |SZILVÁSY GYÖRGY                     |00002189|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |02|01|    |BALCZÓ ZOLTÁN                       |00002865|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |02|02|    |DÉZSI LAJOS                         |00000887|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |02|03|DR. |EÖRSI MÁTYÁS                        |00010035|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |02|04|DR. |ILLÉS ZOLTÁN                        |00003799|FIDESZ                                                                    
1|01|BUDAPEST  |02|05|    |ROSTÁS ÁKOS                         |00001695|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |02|06|DR. |SASS ATTILA                         |00003749|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |02|07|DR. |SCHIFFER JÁNOS                      |00010360|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |02|08|    |ZSIGMOND ATTILA                     |00010281|MDF                                                                       
1|01|BUDAPEST  |03|01|    |BENEDEK LÓRÁNT                      |00002036|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |03|02|    |CSÁNYINÉ ADORJÁN ILDIKÓ             |00001765|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |03|03|DR. |FARKAS PÉTER                        |00002754|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |03|04|    |HEGEDŰS ISTVÁN                      |00002962|FIDESZ                                                                    
1|01|BUDAPEST  |03|05|DR. |MOLNÁR MIKLÓS                       |00005824|MDF                                                                       
1|01|BUDAPEST  |03|06|    |NAGY LÁSZLÓ                         |00001488|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |03|07|DR. |OROSZ SÁNDOR                        |00013824|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |03|08|    |SZÁSZ DOMOKOS                       |00008962|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |04|01|    |BAJAI ÁGNES                         |00000801|ZÖLD ALTERNATÍVA                                                          
1|01|BUDAPEST  |04|02|    |BAROSS SZABOLCS                     |00003006|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |04|03|    |DONÁTH LÁSZLÓ                       |00014686|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |04|04|    |FEJES FRIGYES                       |00001285|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |04|05|DR. |MÉSZÁROS GYÖRGY                     |00002921|FIDESZ                                                                    
1|01|BUDAPEST  |04|06|    |NÉMETH BÁLINT                       |00002493|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |04|07|    |SÁROSSY LÁSZLÓ                      |00006340|MDF                                                                       
1|01|BUDAPEST  |04|08|    |SOÓS KÁROLY ATTILA                  |00010371|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |05|01|    |CSIZMÁR GÁBOR                       |00016553|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |05|02|DR. |FEKETE GYULA                        |00004454|MDF                                                                       
1|01|BUDAPEST  |05|03|DR. |HOLLÓSI ANTAL                       |00003366|FIDESZ                                                                    
1|01|BUDAPEST  |05|04|    |KEREKES ZOLTÁN                      |00001230|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |05|05|DR. |MÉSZÁROS ISTVÁN LÁSZLÓ              |00009583|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |05|06|    |NEMES SÁNDOR                        |00002312|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |05|07|DR. |PONGOR ZOLTÁN                       |00002228|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |05|08|    |SOMOGYI KÁROLY                      |00002074|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |06|01|    |BÉLDI FERENC                        |00000776|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |06|02|    |BÓDI ISTVÁN                         |00000287|NEMZETI DEMOKRATÁK                                                        
1|01|BUDAPEST  |06|03|    |CSABA ELEMÉR                        |00000704|MAGYAR SZOCIALISTA MUNKÁSPÁRT                                             
1|01|BUDAPEST  |06|04|    |GOMBOS JÓZSEFNÉ                     |00000801|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |06|05|    |HÖLVÉNYI GYÖRGY                     |00001905|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |06|06|DR. |KÁZMÉR TIBOR                        |00001986|FIDESZ                                                                    
1|01|BUDAPEST  |06|07|    |KISS PÉTER                          |00011124|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |06|08|    |LILLIK GYÖRGY                       |00002988|FÜGGETLEN KISGAZDAPÁRT                                                    
