1|01|BUDAPEST  |01|FÜGGETLEN KISGAZDAPÁRT        |00080114
1|01|BUDAPEST  |02|MDF                           |00034253
1|01|BUDAPEST  |03|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00082645
1|01|BUDAPEST  |04|MUNKÁSPÁRT                    |00036068
1|01|BUDAPEST  |05|MDNP-NÉPPÁRT                  |00023868
1|01|BUDAPEST  |06|MAGYAR SZOCIALISTA PÁRT       |00309626
1|01|BUDAPEST  |07|SZDSZ                         |00103063
1|01|BUDAPEST  |08|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00016765
1|01|BUDAPEST  |09|FIDESZ                        |00248046
1|02|BARANYA   |01|MDNP-NÉPPÁRT                  |00001925
1|02|BARANYA   |02|NEMZETISÉGI FÓRUM             |00002025
1|02|BARANYA   |03|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00004322
1|02|BARANYA   |04|MUNKÁSPÁRT                    |00008214
1|02|BARANYA   |05|SZDSZ                         |00014635
1|02|BARANYA   |06|MDF                           |00005341
1|02|BARANYA   |07|MAGYAR SZOCIALISTA PÁRT       |00062180
1|02|BARANYA   |08|EGYÜTT MAGYARORSZÁGÉRT UNIÓ   |00001140
1|02|BARANYA   |09|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00007761
1|02|BARANYA   |10|FIDESZ                        |00051060
1|02|BARANYA   |11|MSZDP                         |00000889
1|02|BARANYA   |12|FÜGGETLEN KISGAZDAPÁRT        |00024273
1|03|BÁCS      |01|VÁLLALKOZÓK PÁRTJA            |00001181
1|03|BÁCS      |02|MDF                           |00009583
1|03|BÁCS      |03|NEMZETISÉGI FÓRUM             |00000814
1|03|BÁCS      |04|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00010037
1|03|BÁCS      |05|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00005303
1|03|BÁCS      |06|MDNP-NÉPPÁRT                  |00001775
1|03|BÁCS      |07|FIDESZ                        |00063583
1|03|BÁCS      |08|MAGYAR SZOCIALISTA PÁRT       |00060333
1|03|BÁCS      |09|SZDSZ                         |00013535
1|03|BÁCS      |10|MUNKÁSPÁRT                    |00007147
1|03|BÁCS      |11|ÚJ SZÖVETSÉG                  |00002028
1|03|BÁCS      |12|FÜGGETLEN KISGAZDAPÁRT        |00044005
1|04|BÉKÉS     |01|MUNKÁSPÁRT                    |00009863
1|04|BÉKÉS     |02|MDNP-NÉPPÁRT                  |00001267
1|04|BÉKÉS     |03|NEMZETISÉGI FÓRUM             |00000572
1|04|BÉKÉS     |04|FÜGGETLEN KISGAZDAPÁRT        |00034085
1|04|BÉKÉS     |05|FIDESZ                        |00042174
1|04|BÉKÉS     |06|MSZDP                         |00001528
1|04|BÉKÉS     |07|MDF                           |00004603
1|04|BÉKÉS     |08|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00003086
1|04|BÉKÉS     |09|MAGYAR SZOCIALISTA PÁRT       |00050088
1|04|BÉKÉS     |10|SZDSZ                         |00010664
1|04|BÉKÉS     |11|ÚJ SZÖVETSÉG                  |00002474
1|04|BÉKÉS     |12|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00006706
1|05|BORSOD    |01|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00015039
1|05|BORSOD    |02|ÚJ SZÖVETSÉG                  |00003164
1|05|BORSOD    |03|MAGYAR SZOCIALISTA PÁRT       |00114812
1|05|BORSOD    |04|EGYÜTT MAGYARORSZÁGÉRT UNIÓ   |00001469
1|05|BORSOD    |05|MUNKÁSPÁRT                    |00018072
1|05|BORSOD    |06|FIDESZ                        |00083951
1|05|BORSOD    |07|MDF                           |00007375
1|05|BORSOD    |08|MDNP-NÉPPÁRT                  |00004040
1|05|BORSOD    |09|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00011803
1|05|BORSOD    |10|SZDSZ                         |00017793
1|05|BORSOD    |11|FÜGGETLEN KISGAZDAPÁRT        |00042428
1|06|CSONGRÁD  |01|EGYÜTT MAGYARORSZÁGÉRT UNIÓ   |00001213
1|06|CSONGRÁD  |02|MUNKÁSPÁRT                    |00007382
1|06|CSONGRÁD  |03|FÜGGETLEN KISGAZDAPÁRT        |00028098
1|06|CSONGRÁD  |04|ÚJ SZÖVETSÉG                  |00002421
1|06|CSONGRÁD  |05|SZDSZ                         |00012764
1|06|CSONGRÁD  |06|FIDESZ                        |00056038
1|06|CSONGRÁD  |07|MDF                           |00006131
1|06|CSONGRÁD  |08|MDNP-NÉPPÁRT                  |00001862
1|06|CSONGRÁD  |09|MAGYAR SZOCIALISTA PÁRT       |00051073
1|06|CSONGRÁD  |10|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00003600
1|06|CSONGRÁD  |11|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00008195
1|07|FEJÉR     |01|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00007551
1|07|FEJÉR     |02|FÜGGETLEN KISGAZDAPÁRT        |00022793
1|07|FEJÉR     |03|ÚJ SZÖVETSÉG                  |00001540
1|07|FEJÉR     |04|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00003494
1|07|FEJÉR     |05|EGYÜTT MAGYARORSZÁGÉRT UNIÓ   |00001080
1|07|FEJÉR     |06|MDF                           |00004808
1|07|FEJÉR     |07|MAGYAR SZOCIALISTA PÁRT       |00062848
1|07|FEJÉR     |08|FIDESZ                        |00053837
1|07|FEJÉR     |09|MUNKÁSPÁRT                    |00006452
1|07|FEJÉR     |10|SZDSZ                         |00012544
1|07|FEJÉR     |11|MDNP-NÉPPÁRT                  |00001985
1|08|GYÕR      |01|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA |00009410
1|08|GYÕR      |02|ÚJ SZÖVETSÉG                  |00001459
1|08|GYÕR      |03|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00005833
1|08|GYÕR      |04|MUNKÁSPÁRT                    |00005215
1|08|GYÕR      |05|MDNP-NÉPPÁRT                  |00003047
1|08|GYÕR      |06|SZDSZ                         |00014308
1|08|GYÕR      |07|MAGYAR SZOCIALISTA PÁRT       |00063229
1|08|GYÕR      |08|FIDESZ                        |00070235
1|08|GYÕR      |09|MDF                           |00006141
1|08|GYÕR      |10|FÜGGETLEN KISGAZDAPÁRT        |00024522
1|08|GYÕR      |11|NEMZETISÉGI FÓRUM             |00000425
