01| 1|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0356982|02|FIDESZ,KDNP                                                 
01| 2|MAGYAR SZOCIALISTA PÁRT                                                                     |0445059|01|MSZP                                                        
01| 3|MIÉP-Jobbik a Harmadik Út                                                                   |0029506|01|MIÉP-Jobbik                                                 
01| 4|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0006327|01|MUNKÁSPÁRT                                                  
01| 5|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0124887|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01| 6|MAGYAR DEMOKRATA FÓRUM                                                                      |0053908|01|MDF                                                         
02| 1|SZABAD DEMOKRATÁK SZÖVETSÉGE- A MAGYAR LIBERÁLIS PÁRT                                       |0012368|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
02| 2|MAGYAR SZOCIALISTA PÁRT                                                                     |0104865|01|MSZP                                                        
02| 3|MAGYAR DEMOKRATA FÓRUM                                                                      |0011069|01|MDF                                                         
02| 4|MAGYAR VIDÉK ÉS POLGÁRI PÁRT                                                                |0000344|01|MVPP                                                        
02| 5|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0083132|02|FIDESZ,KDNP                                                 
02| 6|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000881|01|MUNKÁSPÁRT                                                  
02| 7|KERESZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                             |0000316|01|KERESZTÉNYDEMOKRATAPÁRT                                     
02| 8|MCF ROMA ÖSSZEFOGÁS PÁRT                                                                    |0000697|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
02| 9|MAGYARORSZÁGI MUNKÁSPÁRT 2006                                                               |0000556|01|MUNKÁSPÁRT 2006                                             
02|10|MIÉP-Jobbik a Harmadik Út                                                                   |0002783|01|MIÉP-Jobbik                                                 
