01|001|001| 1|Dr.|Kóka                                              |János                                   |0000388|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|001| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000476|02|FIDESZ,KDNP                                                 
01|001|001| 5|Dr.|Vaskor                                            |László                                  |0000017|01|MDF                                                         
01|001|002| 1|Dr.|Kóka                                              |János                                   |0000410|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|002| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000469|02|FIDESZ,KDNP                                                 
01|001|002| 5|Dr.|Vaskor                                            |László                                  |0000023|01|MDF                                                         
01|001|003| 1|Dr.|Kóka                                              |János                                   |0000225|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|003| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000360|02|FIDESZ,KDNP                                                 
01|001|003| 5|Dr.|Vaskor                                            |László                                  |0000013|01|MDF                                                         
01|001|004| 1|Dr.|Kóka                                              |János                                   |0000280|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|004| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000283|02|FIDESZ,KDNP                                                 
01|001|004| 5|Dr.|Vaskor                                            |László                                  |0000014|01|MDF                                                         
01|001|005| 1|Dr.|Kóka                                              |János                                   |0000209|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|005| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000324|02|FIDESZ,KDNP                                                 
01|001|005| 5|Dr.|Vaskor                                            |László                                  |0000010|01|MDF                                                         
01|001|006| 1|Dr.|Kóka                                              |János                                   |0000246|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|006| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000373|02|FIDESZ,KDNP                                                 
01|001|006| 5|Dr.|Vaskor                                            |László                                  |0000012|01|MDF                                                         
01|001|007| 1|Dr.|Kóka                                              |János                                   |0000260|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|007| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000287|02|FIDESZ,KDNP                                                 
01|001|007| 5|Dr.|Vaskor                                            |László                                  |0000012|01|MDF                                                         
01|001|008| 1|Dr.|Kóka                                              |János                                   |0000247|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|008| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000325|02|FIDESZ,KDNP                                                 
01|001|008| 5|Dr.|Vaskor                                            |László                                  |0000013|01|MDF                                                         
01|001|009| 1|Dr.|Kóka                                              |János                                   |0000253|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|009| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000343|02|FIDESZ,KDNP                                                 
01|001|009| 5|Dr.|Vaskor                                            |László                                  |0000017|01|MDF                                                         
01|001|010| 1|Dr.|Kóka                                              |János                                   |0000285|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|010| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000351|02|FIDESZ,KDNP                                                 
01|001|010| 5|Dr.|Vaskor                                            |László                                  |0000016|01|MDF                                                         
01|001|011| 1|Dr.|Kóka                                              |János                                   |0000356|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|011| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000425|02|FIDESZ,KDNP                                                 
01|001|011| 5|Dr.|Vaskor                                            |László                                  |0000011|01|MDF                                                         
01|001|012| 1|Dr.|Kóka                                              |János                                   |0000266|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|012| 4|Dr.|Nagy                                              |Gábor Tamás                             |0000324|02|FIDESZ,KDNP                                                 
01|001|012| 5|Dr.|Vaskor                                            |László                                  |0000016|01|MDF                                                         
01|001|013| 1|Dr.|Kóka                                              |János                                   |0000250|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
