01|003|001| 1|   |Menczer                                           |Erzsébet                                |0000265| 2|FIDESZ,KDNP                                                 
01|003|001| 2|Dr.|Orosz                                             |Sándor                                  |0000109| 1|MSZP                                                        
01|003|001| 3|   |Szabó                                             |Tímea                                   |0000036| 1|LEHET MÁS A POLITIKA                                        
01|003|002| 1|   |Menczer                                           |Erzsébet                                |0000244| 2|FIDESZ,KDNP                                                 
01|003|002| 2|Dr.|Orosz                                             |Sándor                                  |0000162| 1|MSZP                                                        
01|003|002| 3|   |Szabó                                             |Tímea                                   |0000046| 1|LEHET MÁS A POLITIKA                                        
01|003|003| 1|   |Menczer                                           |Erzsébet                                |0000289| 2|FIDESZ,KDNP                                                 
01|003|003| 2|Dr.|Orosz                                             |Sándor                                  |0000101| 1|MSZP                                                        
01|003|003| 3|   |Szabó                                             |Tímea                                   |0000040| 1|LEHET MÁS A POLITIKA                                        
01|003|004| 1|   |Menczer                                           |Erzsébet                                |0000278| 2|FIDESZ,KDNP                                                 
01|003|004| 2|Dr.|Orosz                                             |Sándor                                  |0000168| 1|MSZP                                                        
01|003|004| 3|   |Szabó                                             |Tímea                                   |0000047| 1|LEHET MÁS A POLITIKA                                        
01|003|005| 1|   |Menczer                                           |Erzsébet                                |0000207| 2|FIDESZ,KDNP                                                 
01|003|005| 2|Dr.|Orosz                                             |Sándor                                  |0000114| 1|MSZP                                                        
01|003|005| 3|   |Szabó                                             |Tímea                                   |0000036| 1|LEHET MÁS A POLITIKA                                        
01|003|006| 1|   |Menczer                                           |Erzsébet                                |0000203| 2|FIDESZ,KDNP                                                 
01|003|006| 2|Dr.|Orosz                                             |Sándor                                  |0000198| 1|MSZP                                                        
01|003|006| 3|   |Szabó                                             |Tímea                                   |0000042| 1|LEHET MÁS A POLITIKA                                        
01|003|007| 1|   |Menczer                                           |Erzsébet                                |0000168| 2|FIDESZ,KDNP                                                 
01|003|007| 2|Dr.|Orosz                                             |Sándor                                  |0000142| 1|MSZP                                                        
01|003|007| 3|   |Szabó                                             |Tímea                                   |0000036| 1|LEHET MÁS A POLITIKA                                        
01|003|008| 1|   |Menczer                                           |Erzsébet                                |0000200| 2|FIDESZ,KDNP                                                 
01|003|008| 2|Dr.|Orosz                                             |Sándor                                  |0000134| 1|MSZP                                                        
01|003|008| 3|   |Szabó                                             |Tímea                                   |0000028| 1|LEHET MÁS A POLITIKA                                        
01|003|009| 1|   |Menczer                                           |Erzsébet                                |0000673| 2|FIDESZ,KDNP                                                 
01|003|009| 2|Dr.|Orosz                                             |Sándor                                  |0000227| 1|MSZP                                                        
01|003|009| 3|   |Szabó                                             |Tímea                                   |0000087| 1|LEHET MÁS A POLITIKA                                        
01|003|010| 1|   |Menczer                                           |Erzsébet                                |0000214| 2|FIDESZ,KDNP                                                 
01|003|010| 2|Dr.|Orosz                                             |Sándor                                  |0000171| 1|MSZP                                                        
01|003|010| 3|   |Szabó                                             |Tímea                                   |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|011| 1|   |Menczer                                           |Erzsébet                                |0000259| 2|FIDESZ,KDNP                                                 
01|003|011| 2|Dr.|Orosz                                             |Sándor                                  |0000182| 1|MSZP                                                        
01|003|011| 3|   |Szabó                                             |Tímea                                   |0000044| 1|LEHET MÁS A POLITIKA                                        
01|003|012| 1|   |Menczer                                           |Erzsébet                                |0000254| 2|FIDESZ,KDNP                                                 
01|003|012| 2|Dr.|Orosz                                             |Sándor                                  |0000145| 1|MSZP                                                        
01|003|012| 3|   |Szabó                                             |Tímea                                   |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|013| 1|   |Menczer                                           |Erzsébet                                |0000276| 2|FIDESZ,KDNP                                                 
01|003|013| 2|Dr.|Orosz                                             |Sándor                                  |0000113| 1|MSZP                                                        
01|003|013| 3|   |Szabó                                             |Tímea                                   |0000050| 1|LEHET MÁS A POLITIKA                                        
01|003|014| 1|   |Menczer                                           |Erzsébet                                |0000228| 2|FIDESZ,KDNP                                                 
01|003|014| 2|Dr.|Orosz                                             |Sándor                                  |0000114| 1|MSZP                                                        
01|003|014| 3|   |Szabó                                             |Tímea                                   |0000060| 1|LEHET MÁS A POLITIKA                                        
01|003|015| 1|   |Menczer                                           |Erzsébet                                |0000228| 2|FIDESZ,KDNP                                                 
01|003|015| 2|Dr.|Orosz                                             |Sándor                                  |0000108| 1|MSZP                                                        
01|003|015| 3|   |Szabó                                             |Tímea                                   |0000032| 1|LEHET MÁS A POLITIKA                                        
01|003|016| 1|   |Menczer                                           |Erzsébet                                |0000192| 2|FIDESZ,KDNP                                                 
01|003|016| 2|Dr.|Orosz                                             |Sándor                                  |0000110| 1|MSZP                                                        
01|003|016| 3|   |Szabó                                             |Tímea                                   |0000040| 1|LEHET MÁS A POLITIKA                                        
01|003|017| 1|   |Menczer                                           |Erzsébet                                |0000232| 2|FIDESZ,KDNP                                                 
01|003|017| 2|Dr.|Orosz                                             |Sándor                                  |0000157| 1|MSZP                                                        
01|003|017| 3|   |Szabó                                             |Tímea                                   |0000055| 1|LEHET MÁS A POLITIKA                                        
01|003|018| 1|   |Menczer                                           |Erzsébet                                |0000238| 2|FIDESZ,KDNP                                                 
01|003|018| 2|Dr.|Orosz                                             |Sándor                                  |0000118| 1|MSZP                                                        
01|003|018| 3|   |Szabó                                             |Tímea                                   |0000032| 1|LEHET MÁS A POLITIKA                                        
01|003|019| 1|   |Menczer                                           |Erzsébet                                |0000219| 2|FIDESZ,KDNP                                                 
01|003|019| 2|Dr.|Orosz                                             |Sándor                                  |0000195| 1|MSZP                                                        
01|003|019| 3|   |Szabó                                             |Tímea                                   |0000053| 1|LEHET MÁS A POLITIKA                                        
01|003|020| 1|   |Menczer                                           |Erzsébet                                |0000177| 2|FIDESZ,KDNP                                                 
01|003|020| 2|Dr.|Orosz                                             |Sándor                                  |0000138| 1|MSZP                                                        
01|003|020| 3|   |Szabó                                             |Tímea                                   |0000030| 1|LEHET MÁS A POLITIKA                                        
01|003|021| 1|   |Menczer                                           |Erzsébet                                |0000199| 2|FIDESZ,KDNP                                                 
